8940 errors
1113 warnings

Errors and warnings:

Severity	Code	Description	Project	File	Line	Suppression State
Error	CS0246	The type or namespace name 'AccessLevel' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaWrapper.cs	103	Active
Error	CS0246	The type or namespace name 'AccessLevel' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaWrapper.cs	103	Active
Error	CS0246	The type or namespace name 'AccessLevel' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaWrapper.cs	144	Active
Error	CS0246	The type or namespace name 'AccessLevel' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaWrapper.cs	144	Active
Error	CS0246	The type or namespace name 'Schema' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaWrapper.cs	150	Active
Error	CS0246	The type or namespace name 'ForgeTypeId' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaWrapper.cs	166	Active
Error	CS0246	The type or namespace name 'Entity' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaWrapper.cs	309	Active
Error	CS0246	The type or namespace name 'Schema' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaWrapper.cs	323	Active
Error	CS0246	The type or namespace name 'Field' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaWrapper.cs	372	Active
Error	CS0246	The type or namespace name 'Entity' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaWrapper.cs	372	Active
